insitucion_educativa;codigo_dane_sede;nombre_sede_educativa;direccion;telefono_1;telefono_2
Institución Educativa Agustin Nieto Caballero;176001029411;Sede Principal;KR 37 26 C 51;3367288;3188031641
Institución Educativa Agustin Nieto Caballero;176001005333;Antonio Ricaurte;CL 26 B KR 46;3267965;0
Institución Educativa Agustin Nieto Caballero;176001002920;Jose Maria Vivas Balcazar;KR 36 26 B 28;3344663;0
Institución Educativa Agustin Nieto Caballero;176001003012;Marino Rengifo Salcedo;CL 26 C 44 00;3367287;0
Institución Educativa Alberto Carvajal Borrero;176001001681;Sede Principal;KR 14 58 00;4437206;3184494773
Institución Educativa Alberto Carvajal Borrero;176001004191;Abrahan Dominguez;KR 14 57 19;4489868;0
Institución Educativa Alberto Carvajal Borrero;176001003128;Cacique De Guatavita;CL 54 15 A 20;4100615;4103097
Institución Educativa Alfonso Lopez Pumarejo;176001040101;Sede Principal;KR 7 S BIS Cl 72 y 73;6620181;3117708939
Institución Educativa Alfonso Lopez Pumarejo;176001003942;Central Provivienda;CL 72 A 7 C BIS 10;6620181;3117708939
Institución Educativa Alfonso Lopez Pumarejo;176001003888;Los Farallones;KR 7 J BIS 72 00;6620181;3117708939
Institución Educativa Alfonso Lopez Pumarejo;176001007336;Purificacion Trujillo;KR 7 J BIS 73 00;6620181;3117708939
Institución Educativa Alfonso Lopez Pumarejo;176001006470;Rafael Pombo;KR 7 R BIS 72 124;6620181;3117708939
Institución Educativa Alvaro Echeverry Perea;176001011163;Sede Principal;CL 4 92 04;3228642;0
Institución Educativa Alvaro Echeverry Perea;176001004850;Eduardo Riascos Grueso;KR 93 2 A 02;3928577;0
Institución Educativa Alvaro Echeverry Perea;176001005074;Luis Eduardo Nieto Caballero;KR 92 4 119;4028127;0
Institución Educativa Alvaro Echeverry Perea;176001005082;Rufino Jose Cuervo;CL 4 92 04;3328642;0
Institución Educativa Bartolomé Loboguerrero;176001003161;Sede Principal;CL 71 26 E 25;6632481;0
Institución Educativa Bartolomé Loboguerrero;176001002768;Enrique Olaya Herrera;CL 71 25 A 15;6633288;0
Institución Educativa Boyaca;176001008791;Sede Principal;KR 33 A 25 25;3353916;0
Institución Educativa Boyaca;176001003021;La Independencia;KR 39 26 C 30;3353916;0
Institución Educativa Boyaca;176001003039;Santo Domingo;KR 24 A 26 B 64;3353916;0
Institución Educativa Carlos Holguin Lloreda;176001008642;Sede Principal;KR 40 18 85;3362302;3168313482
Institución Educativa Carlos Holguin Lloreda;176001008995;Jardin Infantil Nacional No. 2;KR 42  A 14 B 15;3344750;0
Institución Educativa Carlos Holguin Lloreda;176001005015;Republica De Costa Rica;CL 14 C 41 A 05;3372822;0
Institución Educativa Carlos Holguin Lloreda;176001004612;Santa Elena;CL 23 32 79;3357584;0
Institución Educativa Carlos Holmes Trujillo;176001007131;Sede Principal;CL 44 KR 43 ESQUINA;3384737;3136065645
Institución Educativa Carlos Holmes Trujillo;176001025661;Cristo Maestro;CL 44 KR 41 F;3384737;0
Institución Educativa Carlos Holmes Trujillo;176001004060;Lizandro Franky;CL 46 KR 40 EQ;3280668;0
Institución Educativa Carlos Holmes Trujillo;176001006496;Policarpa Salavarrieta;CL 44 KR 40;3280128;0
Institución Educativa Celmira Bueno De Orejuela;176001020065;Sede Principal;CL 62 B 1 A9 250;4470928;0
Institución Educativa Celmira Bueno De Orejuela;176001012798;Mariano Ospina Perez;KR 2 CL 67 EQ;4467997;0
Institución Educativa Ciudad Cordoba;176001015975;Sede Principal;CL 50 49 C 100;4836871;0
Institución Educativa Ciudad Cordoba;176001015959;Enrique Olaya Herrera;CL 51 40 A 08;3937398;0
Institución Educativa Ciudad Modelo;176001005805;Sede Principal;KR 40 B CL 31 C 00;3372920;3113856846
Institución Educativa Ciudad Modelo;176001009045;Primavera;KR 35 34 C 21;3341837;3113856846
Institución Educativa Cristobal Colon;176001004256;Sede Principal;KR 47 A 44 62;3274972;3006666267
Institución Educativa Cristobal Colon;176001002814;Antonia Santos;CL 43 43 04;3325710;0
Institución Educativa Cristobal Colon;176001007883;Bienestar Social;KR 47 B 45 74;3377969;0
Institución Educativa Cristobal Colon;176001002946;Jose Joaquin Jaramillo;KR 44 44 64;3374746;0
Institución Educativa De Santa Librada;176001001818;Sede Principal;CL 7 14 A 106;8858838;8858836
Institución Educativa De Santa Librada;176001003292;Carlos Alberto Sardi Garces;KR 5 2 69;8936880;0
Institución Educativa De Santa Librada;176001013271;El Piloto;KR 4 24 40;8800054;0
Institución Educativa De Santa Librada;176001004582;Eustaquio Palacios;KR 17 3 A 55;8858836;0
Institución Educativa De Santa Librada;176001004558;Luis Carlos Peña;CL 7 14 36;8854742;0
Institución Educativa De Santa Librada;176001005431;Republica De Mexico;CL 20 5 65;8818718;0
Institución Educativa De Santa Librada;176001004698;Santiago De Cali;CL 17 7 74;8858836;0
Institución Educativa El Diamante;176001007115;Sede Principal;KR 31 41 00;3995982;0
Institución Educativa El Diamante;176001013026;Juan Pablo II;KR 33 42 C 09;0;0
Institución Educativa El Diamante;176001800061;Señor De Los Milagros;KR 36 51 A 02;0;0
Institución Educativa El Hormiguero;276001004889;Pantano de Vargas;KR 143 CALLE CASCAJAL 2-10 CASA 210;5553932;3176389179
Institución Educativa El Hormiguero;276001005427;Antonio Villavicencio;CORREGIMIENTO EL HORMIGUERO CASA 203;5553932;0
Institución Educativa El Hormiguero;276001005443;Tulia Borrero Mercado;VEREDA MORGAN CASA 05;5553932;0
Institución Educativa El Hormiguero;276001800481;Hogar Juvenil Campesino El Hormiguero;VDA CASCAJAL;5553932;0
Institución Educativa Eustaquio Palacios;176001001770;Sede Principal;KR 52 2 51;5190532;5190536
Institución Educativa Eustaquio Palacios;176001004451;Fray Cristobal De Torres;KR 48 OESTE CL 14 OESTE;5190532;5135527
Institución Educativa Eustaquio Palacios;176001004876;General Anzoategui;CL 1 A 43 68;5524494;0
Institución Educativa Eustaquio Palacios;176001004841;Luis Lopez De Mesa;CL 3 A OESTE 42 44;5528965;0
Institución Educativa Eustaquio Palacios;176001030699;Manuel Maria Buenaventura;KR 40 B OESTE 6 52;5190532;5528965
Institución Educativa Eustaquio Palacios;176001005261;Mariscal Jorge Robledo;KR 49 OESTE 9 02;5190532;5525913
Institución Educativa Eustaquio Palacios;176001008421;Miguel Antonio Caro;CL 6 OESTE 42 B ESQUINA;5190532;5135584
Institución Educativa Eustaquio Palacios;176001004825;Santiago Rengifo Salcedo;CL 23 OESTE 47 06;5521242;5135146
Institución Educativa Eustaquio Palacios;176001005058;Sofia Camargo De Lleras;CL 12 A OESTE KR 51;5190532;5512615
Institución Educativa Eustaquio Palacios;276001019193;Tulio Enrique Tascon;KM 5 VIA CRISTO REY;5190532;5528965
Institución Educativa Eva Riascos Plata;176001002911;Sede Principal;T 25 31B 69;4443046;0
Institución Educativa Eva Riascos Plata;176001002849;Alfonso Barberena;CL 33 C 25 BIS 00;4836859;3154937267
Institución Educativa Eva Riascos Plata;176001004264;Hernando Caicedo;T 29 32 66;4837190;3104015540
Institución Educativa Evaristo Garcia;176001004329;Sede Principal;CL 32 17 41;3451468;0
Institución Educativa Evaristo Garcia;176001002822;Fernando De Aragon;KR 17 F 5 33A 80;3155997471;0
Institución Educativa Evaristo Garcia;176001002831;Jose Hilario Lopez;CL 27 17 G 19;3174298863;0
Institución Educativa Evaristo Garcia;176001003101;Saavedra Galindo;KR 17 F TRANSV 31 18;3451468;0
Institución Educativa Felidia;276001012831;José Holguín Garcés;CORREGIMIENTO FELIDIA;3216426294;0
Institución Educativa Felidia;276001003271;Cristobal Colon;CORREGIMIENTO FELIDIA VEREDA EL DIAMANTE;3216426294;0
Institución Educativa Felidia;276001005451;Republica De Cuba;CORREGIMIENTO FELIDIA;3216426294;0
Institución Educativa Francisco Jose Lloreda Mera;276001010994;Sede Principal;CORREGIMIENTO EL SALADITO KM 14 VIA AL MAR;5501285;3023605513
Institución Educativa Francisco Jose Lloreda Mera;276001005460;Boyacá;CORREGIMIENTO LA ELVIRA;5501285;3023605513
Institución Educativa Francisco Jose Lloreda Mera;276001007641;Francisco Miranda;KM 17 VIA AL MAR CORREGIMIENTO LA ELVIRA;5501285;3023605513
Institución Educativa Francisco Jose Lloreda Mera;276001005150;Ignacio Herrera Y Vergara;VEREDA ALTO AGUACATAL CORREGIMIENTO LA ELVIRA;5501285;3023605513
Institución Educativa Francisco Jose Lloreda Mera;276001005168;Luis Fernando Lloreda Zamorano;KM 14 VIA AL MAR CORREGIMIENTO SALADITO CABECERA;5501285;3023605513
Institución Educativa Francisco Jose Lloreda Mera;276001011753;Nueva San Francisco;VEREDA LOS LAURELES CORREGIMIENTO LA ELVIRA;5501285;3023605513
Institución Educativa Gabriela Mistral;176001017374;Sede Principal;KR 27 D 96 06;3900731;0
Institución Educativa Gabriela Mistral;176001005031;Damaso Zapata;CL 92 28 C 12;4264495;0
Institución Educativa Gabriela Mistral;176001025849;Elias Salazar Garcia;KR 26 I CL 106 108;3900731;0
Institución Educativa Gabriela Mistral;176001022441;Isaias Hernan Ibarra;KR 27 F CL 112 Y 113;4227890;0
Institución Educativa General Alfredo Vasquez Cobo;176001001702;Sede Principal;CL 15 A 22 A 37;3741844;3127925158
Institución Educativa General Alfredo Vasquez Cobo;176001004680;Nuestra Señora De Los Remedios;KR 17 D 18 46;3127972905;0
Institución Educativa General Alfredo Vasquez Cobo;176001004965;Republica Del Ecuador;CL 16 18 A 54;3127965118;0
Institución Educativa General Francisco De Paula Santander;176001006119;Sede Principal;CL 27 31 A 60;3352352;0
Institución Educativa General Francisco De Paula Santander;176001002806;Jose Vicente Concha;KR 30 A 30 A 27;3366942;0
Institución Educativa General Francisco De Paula Santander;176001006488;Julio Arboleda;CL 35 E 30 24;3367292;0
Institución Educativa General Francisco De Paula Santander;176001007611;Leon XIII;CL 35 KR 29 B;3253255;0
Institución Educativa General Francisco De Paula Santander;176001012763;San Pedro Codenal;KR 31 D 31 10;3265413;0
Institución Educativa General Jose Maria Cabal;176001800206;Jose Maria Cabal;CL 2 C 83 30;3230455;3206959502
Institución Educativa Golondrinas;276001022232;Sede Principal;CORREGIMIENTO GOLONDRINAS;3146922501;0
Institución Educativa Golondrinas;276001005508;Antonio Barberena;CORREGIMIENTO GOLONDRINAS;3146922501;0
Institución Educativa Guillermo Valencia;176001001656;Sede Principal;KR 7 N 45 A 08;4466502;3164537569
Institución Educativa Guillermo Valencia;176001004159;Presbitero Angel Piedrahita;KR 8 N 51 35;4465000;3164537569
Institución Educativa Humberto Jordan Mazuera;176001020693;Sede Principal;KR 26 I 72H2 25;6561290;0
Institución Educativa Humberto Jordan Mazuera;176001008677;Charco Azul;DG 70 B1 22 B BIS 01;6621542;0
